tag,Australian standard
economic geography,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
economic growth,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
economic impact,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
economic status,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
economic success,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
economic system,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
economics,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
economy,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
ecosystem,"['DIVISION 05 ENVIRONMENTAL SCIENCES', 'DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
ecosystem function,['DIVISION 05 ENVIRONMENTAL SCIENCES']
ecosystem services,['DIVISION 05 ENVIRONMENTAL SCIENCES']
ecosystems,"['DIVISION 05 ENVIRONMENTAL SCIENCES', 'DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
ecotourism,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
edition,[nan]
editor,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
education,[nan]
education sector,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
education system,[nan]
educational opportunity,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
educational policy,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
educational practice,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
educational reform,[nan]
educational research,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
educational setting,[nan]
educator,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
effect,[nan]
efficacy,[nan]
efficiency,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
ego,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
ehealth,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
eicosapentaenoic acid,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
elasticity,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
elderly,[nan]
election,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
election campaign,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
electric fuses,['DIVISION 10 TECHNOLOGY']
electric impedance,['DIVISION 02 PHYSICAL SCIENCES']
electric network analysis,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
electric vehicles,[nan]
electricity,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
electrodes,[nan]
electroencephalogram,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
electroencephalography,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
electronic mail,"[nan, 'DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
electronics,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
eleocharis,[nan]
elite,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emancipation,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emergencies,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emergency,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
emergency responders,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emerging asian countries,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
emerging economies,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emerging markets,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emigration and immigration,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emotion,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
emotion recognition,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
emotions,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
empirical analysis,[nan]
empirical evidence,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
empirical investigation,[nan]
empirical research,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
employability,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
employee,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
employees,[nan]
empowerment,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
end effectors,[nan]
endangered species,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
endophenotypes,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
endorsements,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
endurance training,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
energy,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
energy conservation,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
energy consumption,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
energy efficiency,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
energy intake,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
energy metabolism,[nan]
energy utilization,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
enforcement,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
engagement,[nan]
engineer,"[nan, 'DIVISION 09 ENGINEERING']"
engineering,['DIVISION 09 ENGINEERING']
engineers,['DIVISION 10 TECHNOLOGY']
english language,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
entrepreneur,[nan]
entrepreneurship,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
entropy,['DIVISION 02 PHYSICAL SCIENCES']
environmental amenities,['DIVISION 05 ENVIRONMENTAL SCIENCES']
environmental change,['DIVISION 05 ENVIRONMENTAL SCIENCES']
environmental factors,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
environmental governance,['DIVISION 05 ENVIRONMENTAL SCIENCES']
environmental health,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
environmental impact,['DIVISION 05 ENVIRONMENTAL SCIENCES']
environmental issues,['DIVISION 05 ENVIRONMENTAL SCIENCES']
environmental justice,['DIVISION 05 ENVIRONMENTAL SCIENCES']
environmental law,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
environmental management,['DIVISION 05 ENVIRONMENTAL SCIENCES']
environmental policy,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 05 ENVIRONMENTAL SCIENCES', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
environmental sustainability,['DIVISION 05 ENVIRONMENTAL SCIENCES']
ephemeroptera,[nan]
epidemiologic studies,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
epidemiology,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
episode of care,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
episodic memory,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
epistemology,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
