Tags,value
global health,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health care costs,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health education,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health expenditures,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health personnel,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health professionals,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health service,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health services needs and demand,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
healthy aging,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
healthy diet,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
homicide,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
immigrant,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
income distribution,DIVISION 16 STUDIES IN HUMAN SOCIETY
inpatients,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
insulin,DIVISION 10 TECHNOLOGY
insulin resistance,DIVISION 10 TECHNOLOGY
intensive care units,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
intercultural education,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
internationalization,DIVISION 21 HISTORY AND ARCHAEOLOGY
justice,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
leg,DIVISION 11 MEDICAL AND HEALTH SCIENCES
life history trait,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
mass media,DIVISION 09 ENGINEERING
media consumption,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
media industry,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
migrants,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
migration,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
mobile computing,DIVISION 10 TECHNOLOGY
national policy,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
network security,DIVISION 09 ENGINEERING
newspaper,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
nucleic acid repetitive sequences,DIVISION 06 BIOLOGICAL SCIENCES
pain management,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
patient care,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
physical education and training,DIVISION 13 EDUCATION
policy reform,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
political apathy,DIVISION 21 HISTORY AND ARCHAEOLOGY
political leaders,DIVISION 21 HISTORY AND ARCHAEOLOGY
political theory,DIVISION 21 HISTORY AND ARCHAEOLOGY
politician,DIVISION 21 HISTORY AND ARCHAEOLOGY
predictive analytics,DIVISION 01 MATHEMATICAL SCIENCES
presidential election,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
public authorities,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
public hospitals,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
recovery,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
reptiles,DIVISION 10 TECHNOLOGY
revenue,DIVISION 16 STUDIES IN HUMAN SOCIETY
rhetoric,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
ribosomal dna,DIVISION 06 BIOLOGICAL SCIENCES
rna,DIVISION 06 BIOLOGICAL SCIENCES
sars virus,DIVISION 06 BIOLOGICAL SCIENCES
security systems,DIVISION 09 ENGINEERING
sex determination,DIVISION 16 STUDIES IN HUMAN SOCIETY
sex reversal,DIVISION 11 MEDICAL AND HEALTH SCIENCES
smartphone,DIVISION 09 ENGINEERING
smokers,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
social adjustment,DIVISION 21 HISTORY AND ARCHAEOLOGY
social web,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
socialisation,DIVISION 21 HISTORY AND ARCHAEOLOGY
socioeconomics,DIVISION 14 ECONOMICS
software engineering,DIVISION 09 ENGINEERING
sympathetic nervous system,DIVISION 06 BIOLOGICAL SCIENCES
telemedicine,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
tertiary care centers,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
web sites,DIVISION 09 ENGINEERING
weight loss,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
women's health,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
wounds and injuries,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
multicultural society,DIVISION 16 STUDIES IN HUMAN SOCIETY
feeding and eating disorders,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
social networking,DIVISION 16 STUDIES IN HUMAN SOCIETY
accounting curriculum,DIVISION 13 EDUCATION
actor-network-theory,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
age group,DIVISION 06 BIOLOGICAL SCIENCES
agricultural land,DIVISION 05 ENVIRONMENTAL SCIENCES
alcohol,DIVISION 10 TECHNOLOGY
anomaly detection,DIVISION 10 TECHNOLOGY
antagonism,DIVISION 16 STUDIES IN HUMAN SOCIETY
anti-bacterial agents,DIVISION 10 TECHNOLOGY
anticoagulants,DIVISION 10 TECHNOLOGY
application programs,DIVISION 09 ENGINEERING
aquatic ecosystems,DIVISION 10 TECHNOLOGY
area under curve,DIVISION 23 OTHERS(RELEVANT)
assistance,DIVISION 24 OTHERS(IRRELEVANT)
assistant,DIVISION 24 OTHERS(IRRELEVANT)
athletic performance,DIVISION 13 EDUCATION
attitude to health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
automation,DIVISION 10 TECHNOLOGY
biogeography,DIVISION 05 ENVIRONMENTAL SCIENCES
bitcoin,DIVISION 14 ECONOMICS
body weight changes,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
border,DIVISION 04 EARTH SCIENCES
broadcast,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
bullying,DIVISION 16 STUDIES IN HUMAN SOCIETY
bureaucracy,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
cacodylic acid,DIVISION 03 CHEMICAL SCIENCES
campaign,DIVISION 21 HISTORY AND ARCHAEOLOGY
catalysts,DIVISION 09 ENGINEERING
catchments,DIVISION 04 EARTH SCIENCES
celebrity,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
cell phone,DIVISION 10 TECHNOLOGY
cheese,DIVISION 10 TECHNOLOGY
city center,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
climate policy,DIVISION 16 STUDIES IN HUMAN SOCIETY
coding,DIVISION 06 BIOLOGICAL SCIENCES
collective behavior,DIVISION 06 BIOLOGICAL SCIENCES
commonwealth,DIVISION 24 OTHERS(IRRELEVANT)
community research,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
complementary therapies,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
concretes,DIVISION 09 ENGINEERING
conservation management,DIVISION 16 STUDIES IN HUMAN SOCIETY
contagious disease,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
contingency,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
coproduction,DIVISION 09 ENGINEERING
correctional institution,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
creative writing,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
cultural geography,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
cultural relations,DIVISION 16 STUDIES IN HUMAN SOCIETY
cyberbullying,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
dams,DIVISION 09 ENGINEERING
deception,DIVISION 06 BIOLOGICAL SCIENCES
descriptive statistics,DIVISION 23 OTHERS(RELEVANT)
desert,DIVISION 04 EARTH SCIENCES
detention,DIVISION 16 STUDIES IN HUMAN SOCIETY
deuterium,DIVISION 02 PHYSICAL SCIENCES
dietetics,DIVISION 09 ENGINEERING
dietitians,DIVISION 09 ENGINEERING
disabled persons,DIVISION 16 STUDIES IN HUMAN SOCIETY
disclosure,DIVISION 23 OTHERS(RELEVANT)
district,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
dna,DIVISION 06 BIOLOGICAL SCIENCES
dna barcoding,DIVISION 06 BIOLOGICAL SCIENCES
dopamine,DIVISION 11 MEDICAL AND HEALTH SCIENCES
drainage,DIVISION 09 ENGINEERING
drug,DIVISION 09 ENGINEERING
ecosystem function,DIVISION 04 EARTH SCIENCES
ecosystems,DIVISION 04 EARTH SCIENCES
efficacy,DIVISION 10 TECHNOLOGY
elderly,DIVISION 23 OTHERS(RELEVANT)
electrodes,DIVISION 06 BIOLOGICAL SCIENCES
electroencephalogram,DIVISION 06 BIOLOGICAL SCIENCES
electronics,DIVISION 02 PHYSICAL SCIENCES
emerging markets,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
employability,DIVISION 16 STUDIES IN HUMAN SOCIETY
end effectors,DIVISION 09 ENGINEERING
energy consumption,DIVISION 04 EARTH SCIENCES
energy metabolism,DIVISION 11 MEDICAL AND HEALTH SCIENCES
environmental impact,DIVISION 04 EARTH SCIENCES
environmental justice,DIVISION 04 EARTH SCIENCES
environmental law,DIVISION 06 BIOLOGICAL SCIENCES
environmental management,DIVISION 04 EARTH SCIENCES
episodic memory,DIVISION 06 BIOLOGICAL SCIENCES
erosion,DIVISION 04 EARTH SCIENCES
explosive agents,DIVISION 09 ENGINEERING
family conflict,DIVISION 16 STUDIES IN HUMAN SOCIETY
fats,DIVISION 11 MEDICAL AND HEALTH SCIENCES
fiction,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
food technology,DIVISION 09 ENGINEERING
food waste,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
food web,DIVISION 06 BIOLOGICAL SCIENCES
forest management,DIVISION 05 ENVIRONMENTAL SCIENCES
fuzzy logic,DIVISION 01 MATHEMATICAL SCIENCES
gardening,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
gender role,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
glass,DIVISION 09 ENGINEERING
global positioning system,DIVISION 09 ENGINEERING
glucose,DIVISION 09 ENGINEERING
glycated hemoglobin a,DIVISION 09 ENGINEERING
gold standard,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
gray literature,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
hdl cholesterol,DIVISION 09 ENGINEERING
heritage,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
hiv,DIVISION 06 BIOLOGICAL SCIENCES
human,DIVISION 21 HISTORY AND ARCHAEOLOGY
human computer interaction,DIVISION 09 ENGINEERING
hydrocortisone,DIVISION 09 ENGINEERING
hyperoxia,DIVISION 04 EARTH SCIENCES
identification (control systems),DIVISION 10 TECHNOLOGY
imagery,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
imagination,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
immigrants,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
immunity,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
impetigo,DIVISION 06 BIOLOGICAL SCIENCES
impurities,DIVISION 06 BIOLOGICAL SCIENCES
incidence,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
income inequality,DIVISION 16 STUDIES IN HUMAN SOCIETY
independent living,DIVISION 06 BIOLOGICAL SCIENCES
indigenous peoples,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
industry 4.0,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
inflammation,DIVISION 06 BIOLOGICAL SCIENCES
infrastructure projects,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
insecticide,DIVISION 03 CHEMICAL SCIENCES
intercultural skills,DIVISION 16 STUDIES IN HUMAN SOCIETY
interleukin-6,DIVISION 10 TECHNOLOGY
internal migration,DIVISION 21 HISTORY AND ARCHAEOLOGY
interpretation,DIVISION 23 OTHERS(RELEVANT)
joints,DIVISION 09 ENGINEERING
kinetics,DIVISION 06 BIOLOGICAL SCIENCES
law and order,DIVISION 16 STUDIES IN HUMAN SOCIETY
liberalism,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
life style,DIVISION 24 OTHERS(IRRELEVANT)
linear models,DIVISION 23 OTHERS(RELEVANT)
lipopolysaccharide-binding protein,DIVISION 09 ENGINEERING
lipopolysaccharides,DIVISION 09 ENGINEERING
local communities,DIVISION 14 ECONOMICS
lower extremity,DIVISION 06 BIOLOGICAL SCIENCES
malaria,DIVISION 06 BIOLOGICAL SCIENCES
manager,DIVISION 16 STUDIES IN HUMAN SOCIETY
mangrove,DIVISION 04 EARTH SCIENCES
masculinity,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
mediatization,DIVISION 16 STUDIES IN HUMAN SOCIETY
mediator,DIVISION 16 STUDIES IN HUMAN SOCIETY
mediterranean diet,DIVISION 16 STUDIES IN HUMAN SOCIETY
memory,DIVISION 10 TECHNOLOGY
mental disorders,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
mental health services,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
mental illness,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
mesocosm,DIVISION 06 BIOLOGICAL SCIENCES
metal,DIVISION 09 ENGINEERING
metals,DIVISION 09 ENGINEERING
metropolis,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
mobilization,DIVISION 23 OTHERS(RELEVANT)
modernization,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
monopoly,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
morbidity,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
motor skills,DIVISION 13 EDUCATION
muscle,DIVISION 06 BIOLOGICAL SCIENCES
muscle strength,DIVISION 06 BIOLOGICAL SCIENCES
muscle weakness,DIVISION 06 BIOLOGICAL SCIENCES
muscles,DIVISION 06 BIOLOGICAL SCIENCES
museum,DIVISION 21 HISTORY AND ARCHAEOLOGY
muslim,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
myth,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
national identity,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
nest,DIVISION 23 OTHERS(RELEVANT)
nonparametric statistics,DIVISION 23 OTHERS(RELEVANT)
ocular vision,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
oils,DIVISION 04 EARTH SCIENCES
olympics,DIVISION 13 EDUCATION
oxidation-reduction,DIVISION 06 BIOLOGICAL SCIENCES
oxygen,DIVISION 06 BIOLOGICAL SCIENCES
ozenoxacin,DIVISION 10 TECHNOLOGY
path analysis,DIVISION 23 OTHERS(RELEVANT)
peer influence,DIVISION 23 OTHERS(RELEVANT)
pension,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
permeability,DIVISION 03 CHEMICAL SCIENCES
personality disorders,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
pharmacy education,DIVISION 13 EDUCATION
plastic,DIVISION 09 ENGINEERING
power relations,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
prisons,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
probiotics,DIVISION 11 MEDICAL AND HEALTH SCIENCES
production function,DIVISION 10 TECHNOLOGY
program evaluation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
proliferation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
propaganda,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
proprioception,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
proteins,DIVISION 11 MEDICAL AND HEALTH SCIENCES
public law,DIVISION 16 STUDIES IN HUMAN SOCIETY
radio,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
reconciliation,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
recycling,DIVISION 03 CHEMICAL SCIENCES
referral and consultation,DIVISION 09 ENGINEERING
reproduction,DIVISION 06 BIOLOGICAL SCIENCES
restructuring,DIVISION 06 BIOLOGICAL SCIENCES
rice,DIVISION 11 MEDICAL AND HEALTH SCIENCES
rights,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
risk analysis,DIVISION 09 ENGINEERING
rna viruses,DIVISION 11 MEDICAL AND HEALTH SCIENCES
robot,DIVISION 09 ENGINEERING
robotics,DIVISION 09 ENGINEERING
robots,DIVISION 09 ENGINEERING
rural women,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
salinity,DIVISION 05 ENVIRONMENTAL SCIENCES
science policy,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
secretory immunoglobulin a,DIVISION 10 TECHNOLOGY
seed dispersal,DIVISION 05 ENVIRONMENTAL SCIENCES
self report,DIVISION 23 OTHERS(RELEVANT)
servants,DIVISION 21 HISTORY AND ARCHAEOLOGY
sex ratio,DIVISION 16 STUDIES IN HUMAN SOCIETY
signal processing,DIVISION 10 TECHNOLOGY
single nucleotide polymorphism,DIVISION 03 CHEMICAL SCIENCES
small and medium-sized enterprises,DIVISION 14 ECONOMICS
spatial learning,DIVISION 23 OTHERS(RELEVANT)
spatial reasoning,DIVISION 23 OTHERS(RELEVANT)
speech recognition,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
stable isotopes,DIVISION 04 EARTH SCIENCES
stakeholder participation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
stakeholders,DIVISION 09 ENGINEERING
standard of living,DIVISION 14 ECONOMICS
stereotype,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
stroop test,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
structural equation model,DIVISION 23 OTHERS(RELEVANT)
sun,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
support vector machines,DIVISION 01 MATHEMATICAL SCIENCES
symbol,DIVISION 21 HISTORY AND ARCHAEOLOGY
symbolic interactionism,DIVISION 21 HISTORY AND ARCHAEOLOGY
tea tree oil,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
textbooks,DIVISION 23 OTHERS(RELEVANT)
textiles,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
theanine,DIVISION 10 TECHNOLOGY
theater,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
tissues,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tomography,DIVISION 11 MEDICAL AND HEALTH SCIENCES
torque,DIVISION 02 PHYSICAL SCIENCES
translocation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tropics,DIVISION 05 ENVIRONMENTAL SCIENCES
twitter,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
urban areas,DIVISION 14 ECONOMICS
urban development,DIVISION 16 STUDIES IN HUMAN SOCIETY
utopia,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
vaccines,DIVISION 09 ENGINEERING
value co-creation,DIVISION 14 ECONOMICS
value creation,DIVISION 14 ECONOMICS
video,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
virtual community,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
virus diseases,DIVISION 11 MEDICAL AND HEALTH SCIENCES
viruses,DIVISION 11 MEDICAL AND HEALTH SCIENCES
warming,DIVISION 05 ENVIRONMENTAL SCIENCES
weblog,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
websites,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
woodlands,DIVISION 05 ENVIRONMENTAL SCIENCES
workers,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
workforce,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
workforce planning,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
working hours,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
x rays,DIVISION 02 PHYSICAL SCIENCES
x-rays,DIVISION 02 PHYSICAL SCIENCES
y chromosome,DIVISION 06 BIOLOGICAL SCIENCES
authority,DIVISION 21 HISTORY AND ARCHAEOLOGY
capitalist society,DIVISION 21 HISTORY AND ARCHAEOLOGY
commodity,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
context,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
decision support systems,DIVISION 10 TECHNOLOGY
decision support techniques,DIVISION 10 TECHNOLOGY
disability insurance,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
discrimination,DIVISION 21 HISTORY AND ARCHAEOLOGY
emigration and immigration,DIVISION 16 STUDIES IN HUMAN SOCIETY
gastrointestinal microbiome,DIVISION 11 MEDICAL AND HEALTH SCIENCES
immigrant,DIVISION 21 HISTORY AND ARCHAEOLOGY
mass media,DIVISION 10 TECHNOLOGY
migrants,DIVISION 21 HISTORY AND ARCHAEOLOGY
migration,DIVISION 21 HISTORY AND ARCHAEOLOGY
network security,DIVISION 10 TECHNOLOGY
policy reform,DIVISION 21 HISTORY AND ARCHAEOLOGY
revenue,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
security systems,DIVISION 10 TECHNOLOGY
smartphone,DIVISION 10 TECHNOLOGY
software engineering,DIVISION 10 TECHNOLOGY
sympathetic nervous system,DIVISION 11 MEDICAL AND HEALTH SCIENCES
web sites,DIVISION 10 TECHNOLOGY
age group,DIVISION 23 OTHERS(RELEVANT)
agricultural land,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
alcohol,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
anomaly detection,DIVISION 23 OTHERS(RELEVANT)
antagonism,DIVISION 23 OTHERS(RELEVANT)
anti-bacterial agents,DIVISION 06 BIOLOGICAL SCIENCES
anticoagulants,DIVISION 06 BIOLOGICAL SCIENCES
biogeography,DIVISION 04 EARTH SCIENCES
bitcoin,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
border,DIVISION 05 ENVIRONMENTAL SCIENCES
cacodylic acid,DIVISION 11 MEDICAL AND HEALTH SCIENCES
campaign,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
celebrity,DIVISION 16 STUDIES IN HUMAN SOCIETY
city center,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
coding,DIVISION 09 ENGINEERING
collective behavior,DIVISION 23 OTHERS(RELEVANT)
concretes,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
contagious disease,DIVISION 06 BIOLOGICAL SCIENCES
contingency,DIVISION 23 OTHERS(RELEVANT)
coproduction,DIVISION 10 TECHNOLOGY
cyberbullying,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
dietetics,DIVISION 10 TECHNOLOGY
dietitians,DIVISION 10 TECHNOLOGY
disabled persons,DIVISION 11 MEDICAL AND HEALTH SCIENCES
district,DIVISION 23 OTHERS(RELEVANT)
dna barcoding,DIVISION 10 TECHNOLOGY
drug,DIVISION 10 TECHNOLOGY
elderly,DIVISION 11 MEDICAL AND HEALTH SCIENCES
electroencephalogram,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
energy consumption,DIVISION 05 ENVIRONMENTAL SCIENCES
environmental impact,DIVISION 06 BIOLOGICAL SCIENCES
environmental justice,DIVISION 06 BIOLOGICAL SCIENCES
environmental management,DIVISION 06 BIOLOGICAL SCIENCES
erosion,DIVISION 05 ENVIRONMENTAL SCIENCES
explosive agents,DIVISION 10 TECHNOLOGY
fats,DIVISION 06 BIOLOGICAL SCIENCES
glass,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
global positioning system,DIVISION 05 ENVIRONMENTAL SCIENCES
glucose,DIVISION 06 BIOLOGICAL SCIENCES
glycated hemoglobin a,DIVISION 06 BIOLOGICAL SCIENCES
hdl cholesterol,DIVISION 06 BIOLOGICAL SCIENCES
heritage,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
hyperoxia,DIVISION 03 CHEMICAL SCIENCES
imagery,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
imagination,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
immunity,DIVISION 06 BIOLOGICAL SCIENCES
impetigo,DIVISION 11 MEDICAL AND HEALTH SCIENCES
incidence,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
indigenous peoples,DIVISION 21 HISTORY AND ARCHAEOLOGY
industry 4.0,DIVISION 16 STUDIES IN HUMAN SOCIETY
insecticide,DIVISION 10 TECHNOLOGY
interleukin-6,DIVISION 09 ENGINEERING
internal migration,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
joints,DIVISION 23 OTHERS(RELEVANT)
liberalism,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
lipopolysaccharide-binding protein,DIVISION 06 BIOLOGICAL SCIENCES
lipopolysaccharides,DIVISION 06 BIOLOGICAL SCIENCES
local communities,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
masculinity,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
memory,DIVISION 11 MEDICAL AND HEALTH SCIENCES
metropolis,DIVISION 24 OTHERS(IRRELEVANT)
modernization,DIVISION 23 OTHERS(RELEVANT)
morbidity,DIVISION 06 BIOLOGICAL SCIENCES
museum,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
muslim,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
myth,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
national identity,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
oxygen,DIVISION 04 EARTH SCIENCES
ozenoxacin,DIVISION 09 ENGINEERING
permeability,DIVISION 06 BIOLOGICAL SCIENCES
plastic,DIVISION 05 ENVIRONMENTAL SCIENCES
prisons,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
probiotics,DIVISION 10 TECHNOLOGY
production function,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
proliferation,DIVISION 10 TECHNOLOGY
propaganda,DIVISION 16 STUDIES IN HUMAN SOCIETY
radio,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
recycling,DIVISION 09 ENGINEERING
restructuring,DIVISION 10 TECHNOLOGY
rights,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
risk analysis,DIVISION 23 OTHERS(RELEVANT)
secretory immunoglobulin a,DIVISION 06 BIOLOGICAL SCIENCES
servants,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
stable isotopes,DIVISION 06 BIOLOGICAL SCIENCES
stakeholders,DIVISION 23 OTHERS(RELEVANT)
stereotype,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
theanine,DIVISION 03 CHEMICAL SCIENCES
theater,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
tomography,DIVISION 10 TECHNOLOGY
tropics,DIVISION 23 OTHERS(RELEVANT)
urban areas,DIVISION 16 STUDIES IN HUMAN SOCIETY
utopia,DIVISION 21 HISTORY AND ARCHAEOLOGY
vaccines,DIVISION 10 TECHNOLOGY
value co-creation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
value creation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
virtual community,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
virus diseases,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
viruses,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
